trade_id,date,ticker,direction,gap_pct,crypto_sentiment,entry_price,exit_price,gross_return_pct,net_return_pct,pnl_usd,capital_after,outcome
GAP-001,2025-09-20,TSLAUSDT,SHORT,3.61,31,335.21,339.23,-1.2,-1.42,-283.97,99716.03,LOSS
GAP-002,2025-11-01,TSLAUSDT,LONG,-3.46,86,317.17,313.04,-1.3,-1.52,-303.89,99412.14,LOSS
GAP-003,2025-11-08,TSLAUSDT,LONG,-2.19,86,331.87,343.43,3.49,3.27,649.2,100061.34,WIN
GAP-004,2025-11-15,TSLAUSDT,LONG,-1.87,73,335.28,331.54,-1.12,-1.34,-267.39,99793.95,LOSS
GAP-005,2025-11-22,TSLAUSDT,LONG,-3.23,78,303.92,315.95,3.96,3.74,746.08,100540.03,WIN
GAP-006,2025-11-29,TSLAUSDT,LONG,-1.93,82,331.93,343.12,3.37,3.15,633.92,101173.95,WIN
GAP-007,2025-12-13,TSLAUSDT,LONG,-3.44,78,324.23,333.03,2.71,2.49,504.75,101678.7,WIN
GAP-008,2026-01-10,TSLAUSDT,SHORT,2.29,28,347.31,338.66,2.49,2.27,461.46,102140.16,WIN
GAP-009,2026-01-17,TSLAUSDT,SHORT,3.19,26,356.78,348.6,2.29,2.07,423.11,102563.27,WIN
GAP-010,2026-01-24,TSLAUSDT,SHORT,3.94,31,339.46,343.63,-1.23,-1.45,-297.22,102266.04,LOSS
GAP-011,2026-01-31,TSLAUSDT,LONG,-2.88,76,335.35,344.58,2.75,2.53,518.35,102784.39,WIN
GAP-012,2026-02-14,TSLAUSDT,LONG,-3.48,85,327.66,340.21,3.83,3.61,742.63,103527.02,WIN
GAP-013,2026-03-07,TSLAUSDT,LONG,-2.6,73,337.66,347.53,2.92,2.7,559.42,104086.44,WIN
GAP-014,2026-03-28,TSLAUSDT,SHORT,3.8,32,373.3,377.67,-1.17,-1.39,-289.57,103796.86,LOSS
GAP-015,2026-04-04,TSLAUSDT,SHORT,2.01,22,363.14,349.39,3.78,3.56,739.86,104536.73,WIN
GAP-016,2026-04-18,TSLAUSDT,SHORT,2.98,32,372.57,362.47,2.71,2.49,521.05,105057.78,WIN
GAP-017,2026-04-25,TSLAUSDT,SHORT,2.72,26,358.71,344.9,3.85,3.63,762.25,105820.03,WIN
GAP-018,2026-05-02,TSLAUSDT,LONG,-2.62,76,346.51,358.6,3.49,3.27,692.04,106512.07,WIN
GAP-019,2026-05-09,TSLAUSDT,LONG,-2.87,72,341.16,354.42,3.88,3.66,780.63,107292.7,WIN
GAP-020,2026-05-23,TSLAUSDT,LONG,-2.3,78,331.09,343.04,3.61,3.39,727.11,108019.81,WIN
GAP-021,2026-06-06,TSLAUSDT,LONG,-2.95,82,339.06,335.23,-1.13,-1.35,-291.81,107728.0,LOSS
GAP-022,2026-06-27,TSLAUSDT,SHORT,2.54,32,356.62,360.6,-1.12,-1.34,-288.21,107439.79,LOSS
GAP-023,2026-07-04,TSLAUSDT,SHORT,3.21,33,362.04,352.88,2.53,2.31,496.39,107936.19,WIN
GAP-024,2026-07-11,TSLAUSDT,SHORT,3.28,24,358.49,344.89,3.79,3.57,771.33,108707.52,WIN
GAP-025,2026-07-18,TSLAUSDT,SHORT,3.21,27,377.98,365.48,3.31,3.09,671.48,109379.0,WIN
GAP-026,2026-07-25,TSLAUSDT,SHORT,4.02,28,373.16,359.12,3.76,3.54,774.75,110153.75,WIN
GAP-027,2026-08-01,TSLAUSDT,LONG,-3.06,85,361.71,357.38,-1.2,-1.42,-312.11,109841.64,LOSS
GAP-028,2026-08-08,TSLAUSDT,LONG,-2.22,73,363.15,358.75,-1.21,-1.43,-314.64,109527.0,LOSS
GAP-029,2026-08-15,TSLAUSDT,LONG,-3.45,85,350.21,362.63,3.55,3.33,728.78,110255.78,WIN
GAP-030,2026-08-22,TSLAUSDT,LONG,-3.62,74,343.21,354.5,3.29,3.07,676.77,110932.55,WIN
GAP-031,2026-08-29,TSLAUSDT,LONG,-2.59,85,366.05,376.22,2.78,2.56,567.97,111500.51,WIN
GAP-032,2026-09-05,TSLAUSDT,LONG,-1.9,72,351.28,361.53,2.92,2.7,601.94,112102.45,WIN
GAP-033,2026-09-12,TSLAUSDT,LONG,-1.81,82,368.09,363.64,-1.21,-1.43,-320.62,111781.83,LOSS
